alt-low                     alt-high                    press                       temp                        O3                          H2O                         CO2                         CH4                         O2                          CO                          N2                          
2.750000000000000e+01       2.800000000000000e+01       1.713833972866214e-02       2.000000000000000e+02       6.453496146081282e-06       3.912054407494231e-06       3.606554352749705e-04       9.935913423322911e-07       2.099556165952231e-01       1.440287086130568e-08       7.896723544247352e-01       
2.800000000000000e+01       2.850000000000000e+01       1.589605548476421e-02       2.000000000000000e+02       6.602805584183794e-06       3.977895504974725e-06       3.606729974328143e-04       9.636486307599391e-07       2.099537094827774e-01       1.429001219939208e-08       7.896740588800577e-01       
2.850000000000000e+01       2.900000000000000e+01       1.474643674628115e-02       2.000000000000000e+02       6.737068892576230e-06       4.043668658806167e-06       3.606900771421655e-04       9.339077365690430e-07       2.099517891017656e-01       1.417704605152970e-08       7.896757919987583e-01       
2.900000000000000e+01       2.950000000000000e+01       1.368237730599735e-02       2.000000000000000e+02       6.858893040280925e-06       4.110206812921995e-06       3.607068671428187e-04       9.039897822464325e-07       2.099498262090941e-01       1.406120443839607e-08       7.896775797729232e-01       
2.950000000000000e+01       3.000000000000000e+01       1.269733073706305e-02       2.000000000000000e+02       6.969112089618475e-06       4.177378205213878e-06       3.607233020960419e-04       8.739542968995283e-07       2.099478188536086e-01       1.394204433302794e-08       7.896794234576593e-01       
3.000000000000000e+01       3.050000000000000e+01       1.178526512907591e-02       2.000000000000000e+02       7.067931216589832e-06       4.244615667684266e-06       3.607392129248271e-04       8.440540819069485e-07       2.099457782585530e-01       1.382070160756383e-08       7.896813121068544e-01       
3.050000000000000e+01       3.100000000000000e+01       1.094062149109777e-02       2.000000000000000e+02       7.155177277615691e-06       4.311537051836484e-06       3.607544833573445e-04       8.144560131373030e-07       2.099437118084412e-01       1.369889222930782e-08       7.896832388389666e-01       
3.100000000000000e+01       3.150000000000000e+01       1.015827574545713e-02       2.000000000000000e+02       7.229287461614935e-06       4.377755971965638e-06       3.607690030614148e-04       7.853260321329459e-07       2.099416297386131e-01       1.357925103991021e-08       7.896851953096087e-01       
3.150000000000000e+01       3.200000000000000e+01       9.433503859565222e-03       2.000000000000000e+02       7.286805884125987e-06       4.443483273835544e-06       3.607827949868906e-04       7.565655853412897e-07       2.099395275473385e-01       1.346444522610258e-08       7.896871893384861e-01       
3.200000000000000e+01       3.250000000000000e+01       8.761949759394911e-03       2.000000000000000e+02       7.320350348064877e-06       4.509243419530797e-06       3.607959353736541e-04       7.279413271947737e-07       2.099373959271903e-01       1.335832340836039e-08       7.896892372440178e-01       
3.250000000000000e+01       3.300000000000000e+01       8.140469925296132e-03       2.000000000000000e+02       7.315094961781889e-06       4.575083215960642e-06       3.608084001452554e-04       6.994328158975023e-07       2.099352522779575e-01       1.326799192646577e-08       7.896913364429117e-01       
3.300000000000000e+01       3.350000000000000e+01       7.566234562824297e-03       2.000000000000000e+02       7.276417800065297e-06       4.640810150632681e-06       3.608201333846102e-04       6.711181750899898e-07       2.099330909798590e-01       1.318919046548720e-08       7.896934873514401e-01       
3.350000000000000e+01       3.400000000000000e+01       7.035660541254983e-03       2.000000000000000e+02       7.214908169022393e-06       4.706141907892549e-06       3.608310582357375e-04       6.431131355648390e-07       2.099309004600088e-01       1.311458858972426e-08       7.896956912039543e-01       
